id,source,object_type,name,display_name,authoritative,available_on_relationships,description,Keep/Remove,Reason,Comment
extraction.benchling_bnt_id,benchling,extraction,benchling_bnt_id,B&T ID,1,,Legacy B&T ID. You probably don't want this.,,,
extraction.benchling_completion_date,benchling,extraction,benchling_completion_date,Extraction Date,1,,The date of HMW DNA extraction,,,
extraction.benchling_dna_260_280_ratio,benchling,extraction,benchling_dna_260_280_ratio,260/280 Ratio,,,Ratio of absorbance at 260/280nm as measured by spectrophotometer,,,
extraction.benchling_eln_file_registry_id,benchling,extraction,benchling_eln_file_registry_id,Extraction Entity Name,1,,Name of extraction entity in Benchling Registry or Sanger Sample ID for those extracted in LRES,,,
extraction.benchling_eln_tissue_id,benchling,extraction,benchling_eln_tissue_id,Tissue ID,1,,Benchling ID for the tissue the extractions is derived from,,,
extraction.benchling_eln_tissue_prep_name,benchling,extraction,benchling_eln_tissue_prep_name,Tissue Prep Name,1,,Benchling name for the tissue prep entity the extraction is derived from,,,
extraction.benchling_extraction_id,benchling,extraction,benchling_extraction_id,Extraction ID,1,,Benchling ID for the extract,,,
extraction.benchling_extraction_name,benchling,extraction,benchling_extraction_name,Extraction Name,1,,Benchling name for the extraction entity,,,
extraction.benchling_extraction_protocol,benchling,extraction,benchling_extraction_protocol,Extraction Protocol,,,DNA extraction protocol as recorded at the time of extraction,,,
extraction.benchling_extraction_qc_result,benchling,extraction,benchling_extraction_qc_result,DNA Extraction Status,1,1,Yes = Extraction passed; No = Extraction failed,,,
extraction.benchling_extraction_type,benchling,extraction,benchling_extraction_type,Extraction Type,1,1,,,,
extraction.benchling_femto_description,benchling,extraction,benchling_femto_description,DNA Femto Description,1,,"The category description, or selection of descriptors for the Femto profile. NA if not recorded",,,
extraction.benchling_fluidx_id,benchling,extraction,benchling_fluidx_id,FluidX ID,1,,Barcode of the extraction container,,,
extraction.benchling_gqn_index,benchling,extraction,benchling_gqn_index,GQN Value,,,"Genome Quality Number for a sample, as measured with a threshold of 10 kb on the Femto",,,
extraction.benchling_location,benchling,extraction,benchling_location,Location,,,Freezer shelf of the DNA extract. Use together with the rack barcode attribute,,,
extraction.benchling_manual_vs_automatic,benchling,extraction,benchling_manual_vs_automatic,Extraction Mechanism,,,"Whether this sample was extracted by hand, ‘manual’, or via a machine,  ‘automatic’",,,
